07A,D Min,100,,Doo Wop (That Thing),Ms. Lauryn Hill,R&B/Soul,,,,,
08B,C Maj,71,,I Got You (I Feel Good),James Brown,Funk/R&B/Soul,,,,,
12B,E Maj,118,,Get Up Offa That Thing,James Brown,Funk/R&B/Soul,,,,,
03A,Bb Min,106,,I Get Lifted,KC & The Sunshine Band,Funk/R&B/Soul,,,,,
07B, Maj,131,,That's Love,Oddisee,Hip-Hop/R&B/Soul,,,,,
06B,Bb Maj,138,,Green Onion's (45 Version),Booker T. & the M.G.',Funk/R&B/Soul,,,,,
12B,E Maj,77,,Hip Hop,Dead Prez,Hip-Hop,,,,,
11A,Gb Min,84,,N.Y. State of Mind,Nas,Hip-Hop,,,,,
08B,C Maj,83,,Luchini AKA This Is It,Camp Lo,Hip-Hop,,,,02B,
03B,Db Maj,93,,Simon Says,Pharoahe Monch,Hip-Hop,,,,,
10B,D Maj,92,,Brooklyn Zoo,Ol' Dirty Bastard,Hip-Hop,,,,,
01B,B Maj,93,,Still D.R.E.,Dr. Dre/Snoop Dogg,Hip-Hop,,,,08A,
09B,G Maj,94,,Gimme the Loot,The Notorious B.I.G.,Hip-Hop,,,,,
03B,Db Maj,103,,Got Your Money,Ol' Dirty Bastard/Kelis,Hip-Hop,,,,03A,
02B,Gb Maj,102,,How I Could Just Kill a Man,Cypress Hill,Hip-Hop,,,,,
04B,Ab Maj,134,,Forgot About Dre,Dr. Dre/Eminem,Hip-Hop,,,,,
